policy_id,insured_id,snapshot_date,policy_effective_date,policy_expiration_date,coverage_type,vehicle_count,vehicle_avg_age,driver_count,driver_avg_age,years_in_business,prior_year_mileage_000,business_type,state,prior_apd_claim_count,prior_al_claim_count,prior_loss_amount,deductible,coverage_limit_000,annual_premium,payment_frequency,risk_score_external,num_heavy_vehicles,late_payment_count,first_claim_reported_date,claim_paid_amount_current_period,claim_status_current_period,days_to_first_claim_report
POL-015001,INS-00258,2023-10-10,2023-07-23,2024-07-22,APD,10,5.0,8,36.0,29.1,271.3,CONSTRUCTION,PA,0,0,0.0,250,300,14609.92,Quarterly,98.95,4,0.0,,,,
POL-015002,INS-00015,2023-07-28,2023-02-12,2024-02-12,APD,9,7.8,8,48.0,2.9,407.3,Construction,TX,0,1,12195.65,2500,500,16506.02,Monthly,,3,2.0,,,,
POL-015003,INS-00512,2024-05-10,2024-04-09,2025-04-09,APD,5,5.0,7,42.8,4.2,137.8,Trucking,NY,1,0,6682.99,250,100,4858.2,Quarterly,76.84,2,2.0,,,,
POL-015004,INS-00231,2023-12-07,2023-07-18,2024-07-17,APD,12,4.2,9,27.6,1.1,245.8,Construction,GA,1,0,8650.0,250,500,4071.91,Annual,14.98,1,,,,,
POL-015005,INS-00259,2023-06-11,2023-04-04,2024-04-03,APD,9,9.5,6,48.2,2.6,419.3,Service,PA,1,0,6484.67,1000,100,16776.12,Monthly,40.63,2,0.0,,,,
POL-015006,INS-00020,2023-03-22,2023-02-26,2024-02-26,APD,5,4.1,3,,9.7,58.5,construction,OH,1,0,19680.1,500,100,8246.49,Monthly,88.77,0,2.0,,,,
POL-015007,INS-00366,2023-10-14,2023-06-23,2024-06-22,APD,12,7.5,4,39.2,22.0,241.8,retail,IL,1,0,37362.35,250,500,4726.43,Annual,32.92,2,0.0,,,,
POL-015008,INS-00128,2023-09-12,2023-08-10,2024-08-09,APD,7,11.8,4,31.2,1.0,285.9,other,OH,0,1,24972.3,250,100,13596.64,Monthly,54.74,0,0.0,,,,
POL-015009,INS-00021,2024-03-03,2023-11-22,2024-11-21,APD,10,5.3,3,41.8,5.8,222.4,Trucking,AZ,0,0,0.0,5000,100,5574.78,Annual,35.55,3,0.0,,,,
POL-015010,INS-00723,2023-11-12,2023-09-20,2024-09-19,APD,6,5.1,4,45.7,1.5,66.9,Trucking,PA,1,0,3580.99,250,100,5297.55,Annual,8.55,1,0.0,,,,
POL-015011,INS-00177,2024-05-20,2023-11-25,2024-11-24,APD,12,5.8,4,31.2,6.9,481.9,Service,NC,0,0,0.0,250,300,20172.0,Monthly,72.64,4,3.0,,,,
POL-015012,INS-00748,2023-12-31,2023-12-20,2024-12-19,APD,7,2.4,5,40.4,16.3,118.7,Other,OH,0,0,0.0,250,300,8251.38,Quarterly,84.23,0,4.0,,,,
POL-015013,INS-00341,2023-09-30,2023-09-08,2024-09-07,APD,9,3.7,9,46.8,7.4,175.7,trucking,CA,0,0,0.0,5000,500,9375.37,Annual,,4,3.0,,,,
POL-015014,INS-00193,2024-04-24,2023-10-29,2024-10-28,APD,9,10.8,8,33.9,2.4,273.9,RETAIL,OH,0,0,0.0,250,100,2759.29,Annual,35.51,1,1.0,,,,
POL-015015,INS-00180,2023-09-03,2023-04-24,2024-04-23,APD,8,5.7,2,31.0,7.5,422.4,CONSTRUCTION,IL,0,2,4852.92,5000,500,12295.48,Annual,,1,3.0,,,,
POL-015016,INS-00396,2023-11-18,2023-08-13,2024-08-12,APD,7,5.8,5,44.7,1.7,178.3,Service,WA,0,1,13053.33,1000,300,6533.85,Annual,99.43,0,0.0,,,,
POL-015017,INS-00371,2023-08-04,2023-06-14,2024-06-13,APD,10,0.0,8,38.6,6.5,,Service,IL,0,0,0.0,2500,300,6333.92,Annual,,2,0.0,,,,
POL-015018,INS-00388,2023-08-18,2023-04-25,2024-04-24,APD,8,10.7,9,49.2,23.4,93.2,Trucking,CA,1,0,48687.09,500,100,15648.95,Quarterly,62.47,2,0.0,,,,
POL-015019,INS-00530,2023-02-09,2022-12-12,2023-12-12,APD,5,3.3,7,27.4,5.2,,Service,CO,1,0,18425.79,500,300,10638.01,Monthly,66.78,1,2.0,,,,
POL-015020,INS-00070,2023-12-09,2023-10-15,2024-10-14,APD,10,4.0,4,34.6,37.9,528.0,Trucking,FL,0,1,17230.84,500,500,5531.4,Quarterly,49.15,2,1.0,,,,
POL-015021,INS-00005,2024-05-26,2024-01-25,2025-01-24,APD,7,2.8,6,52.6,14.2,354.8,Trucking,FL,0,1,5718.55,5000,500,5716.8,Monthly,80.47,0,2.0,9999-01-01,-999.0,INVALID,-999.0
POL-015022,INS-00637,2024-05-05,2024-02-22,2025-02-21,APD,8,4.7,11,45.0,2.2,472.5,Construction,AZ,0,0,0.0,2500,300,4933.65,Annual,53.24,0,1.0,,,,
POL-015023,INS-00270,2023-05-23,2023-05-12,2024-05-11,APD,11,2.6,4,28.2,16.5,355.9,Retail,CA,2,2,,500,500,3885.72,Annual,39.37,0,2.0,,,,
POL-015024,INS-00243,2024-01-12,2023-11-14,2024-11-13,APD,10,3.0,4,,5.0,594.8,Trucking,OH,1,0,7924.32,2500,300,14751.82,Annual,90.67,2,0.0,,,,
POL-015025,INS-00191,2023-03-25,2023-02-09,2024-02-09,APD,8,8.7,3,42.9,1.0,166.3,Service,WA,0,0,,2500,100,9985.6,Annual,36.41,3,0.0,,,,
POL-015026,INS-00506,2023-07-12,2023-06-07,2024-06-06,APD,4,5.6,7,35.0,11.9,161.7,Other,AZ,1,0,14946.21,2500,100,7320.0,Annual,16.36,1,0.0,,,,
POL-015027,INS-00266,2023-02-17,2022-12-26,2023-12-26,APD,11,10.9,6,42.8,20.0,256.6,Retail,IL,0,2,38922.6,250,100,8334.37,Annual,17.59,2,2.0,,,,
POL-015028,INS-00627,2023-08-02,2023-06-05,2024-06-04,APD,4,8.0,8,36.3,14.2,39.0,Service,IL,0,0,0.0,2500,100,3479.65,Monthly,64.19,2,2.0,,,,
POL-015029,INS-00572,2023-05-08,2022-11-29,2023-11-29,APD,7,1.6,5,35.1,14.6,63.3,Service,IL,0,1,13325.83,1000,500,9676.55,Annual,78.16,0,0.0,,,,
POL-015030,INS-00705,2023-06-10,2023-04-28,2024-04-27,APD,6,7.1,6,40.0,17.2,96.5,Trucking,WA,0,1,17154.01,500,500,10125.98,Annual,24.08,3,0.0,,,,
POL-015031,INS-00643,2024-03-10,2024-03-09,2025-03-09,APD,13,7.9,7,29.7,2.3,349.8,retail,AZ,0,1,12096.79,1000,100,5730.52,Quarterly,17.39,4,0.0,,,,
POL-015032,INS-00243,2024-05-17,2024-01-07,2025-01-06,APD,7,1.1,4,26.9,6.6,186.9,Trucking,CO,3,0,,2500,500,18107.69,Monthly,12.23,0,1.0,,,,
POL-015033,INS-00152,2023-01-21,2022-12-15,2023-12-15,APD,10,5.1,4,35.1,7.9,,Other,GA,1,1,22659.74,2500,100,11691.63,Monthly,83.49,1,1.0,,,,
POL-015034,INS-00461,2024-02-12,2023-10-03,2024-10-02,APD,8,0.0,10,37.5,10.0,177.3,Retail,CO,1,0,27931.33,5000,500,9517.64,Monthly,34.82,2,0.0,,,,
POL-015035,INS-00194,2023-07-27,2023-06-23,2024-06-22,APD,6,4.4,7,42.9,1.0,192.7,Trucking,IL,2,1,44471.01,250,500,5343.51,,74.15,0,0.0,,,,
POL-015036,INS-00105,2024-02-06,2023-11-20,2024-11-19,APD,4,7.4,8,38.5,40.0,244.0,Trucking,GA,0,1,12442.95,250,1000,18701.3,Annual,12.4,1,0.0,,,,
POL-015037,INS-00142,2023-01-31,2022-10-01,2023-10-01,APD,8,7.1,2,42.9,4.8,207.9,Other,OH,1,1,27869.21,500,100,10205.83,Annual,2.57,3,3.0,,,,
POL-015038,INS-00476,2023-01-28,2022-08-20,2023-08-20,APD,6,3.6,8,44.9,26.3,371.2,Trucking,OH,1,0,15895.95,5000,500,15381.74,Annual,,1,3.0,,,,
POL-015039,INS-00430,2024-04-02,2023-10-16,2024-10-15,APD,8,9.0,3,35.8,24.6,183.0,Retail,GA,1,0,9874.76,2500,500,7838.36,Quarterly,36.6,2,0.0,,,,
POL-015040,INS-00261,2024-05-08,2023-12-29,2024-12-28,APD,5,7.1,10,26.4,27.1,142.4,Other,NY,1,1,13769.03,500,500,16175.55,Quarterly,46.31,2,2.0,,,,
POL-015041,INS-00279,2023-04-16,2023-03-18,2024-03-17,APD,6,9.2,6,40.7,13.0,168.4,Service,OH,1,0,,2500,100,25000.0,Annual,8.25,3,0.0,,,,
POL-015042,INS-00081,2024-01-18,2023-10-23,2024-10-22,APD,11,8.6,5,27.6,22.4,389.5,TRUCKING,FL,0,1,15830.2,1000,500,25000.0,Monthly,1.78,2,2.0,,,,
POL-015043,INS-00547,2024-01-09,2023-11-04,2024-11-03,APD,5,5.3,7,43.0,9.2,215.1,Rideshare,FL,1,0,2250.82,250,300,4504.66,Quarterly,15.75,0,0.0,,,,
POL-015044,INS-00379,2023-06-27,2023-04-22,2024-04-21,APD,5,5.7,7,43.1,6.7,118.0,Retail,IL,1,2,62302.39,5000,300,8407.12,Annual,14.61,0,0.0,,,,
