policy_id,insured_id,snapshot_date,policy_effective_date,policy_expiration_date,coverage_type,vehicle_count,vehicle_avg_age,driver_count,driver_avg_age,years_in_business,prior_year_mileage_000,business_type,state,prior_apd_claim_count,prior_al_claim_count,prior_loss_amount,deductible,coverage_limit_000,annual_premium,payment_frequency,risk_score_external,has_safety_program,num_heavy_vehicles,late_payment_count,claim_count,total_loss_amount,first_claim_reported_date,claim_paid_amount_current_period,claim_status_current_period,days_to_first_claim_report
POL-006680,INS-00529,2021-07-24,2021-05-26,2022-05-26,APD,7,5.9,8,47.5,5.4,37.5,service,AZ,0,0,0.0,5000,300,4630.41,Quarterly,83.06,0,0,1.0,0,0.0,,0.0,No Claim,
POL-003291,INS-02313,2021-03-17,2020-11-26,2021-11-26,APD,6,6.0,6,32.5,30.8,86.1,Trucking,TX,0,0,0.0,2500,1000,6609.95,Annual,82.16,0,2,3.0,0,0.0,,0.0,No Claim,
POL-006559,INS-02723,2022-11-10,2022-05-17,2023-05-17,APD,6,4.1,5,40.9,2.2,141.2,Trucking,NY,2,1,13158.35,500,500,10918.16,Quarterly,77.75,1,0,0.0,0,0.0,,0.0,No Claim,
POL-007927,INS-03739,2021-03-12,2020-10-20,2021-10-20,AL,14,6.0,9,47.5,18.8,,Construction,IL,0,2,,500,300,15960.6,Annual,43.6,1,3,0.0,0,0.0,,0.0,No Claim,
POL-005665,INS-00218,2021-08-21,2021-05-04,2022-05-04,APD,7,2.5,2,48.1,5.7,172.6,Retail,FL,0,0,0.0,250,300,24345.98,Quarterly,13.2,1,0,0.0,0,0.0,,0.0,No Claim,
POL-006062,INS-00760,2022-05-14,2022-03-07,2023-03-07,APD,10,8.2,6,42.9,18.3,412.1,Other,OH,2,1,7433.07,250,500,2825.69,Monthly,33.88,0,2,2.0,0,0.0,,0.0,No Claim,
POL-006614,INS-00785,2020-03-08,2019-10-06,2020-10-05,APD,11,5.2,8,39.0,1.0,280.5,Service,OH,0,0,0.0,500,1000,2087.94,Annual,,0,2,0.0,0,0.0,,0.0,No Claim,
POL-003703,INS-01832,2020-09-30,2020-07-19,2021-07-19,APD,5,5.1,7,52.3,1.0,166.6,Service,TX,0,0,0.0,2500,100,4018.98,Annual,24.04,1,0,0.0,0,0.0,,0.0,No Claim,
POL-004915,INS-03683,2022-05-01,2022-04-17,2023-04-17,APD,12,2.9,9,42.2,3.0,268.5,Construction,NY,0,0,0.0,250,100,8130.27,Quarterly,31.26,1,0,0.0,1,24730.54,2022-06-15,15829.13,Closed,45.0
POL-011336,INS-01938,2020-03-02,2019-09-18,2020-09-17,AL,5,4.5,8,35.8,13.2,67.6,Retail,NY,0,0,0.0,250,500,15925.43,Quarterly,99.08,0,0,1.0,0,0.0,,0.0,No Claim,
